subject,trial,trial_uid,redundancy,unique_ecn,unique_dmn,synergy
sub-M87100481,85,sub-M87100481_win_85,0.4747755950953092,0.16343456841665382,0.0,1.2664165242032137
sub-M87100481,86,sub-M87100481_win_86,0.4082959669855635,0.0,0.13638651219508713,1.1510788084819694
sub-M87100481,87,sub-M87100481_win_87,0.29498481499514284,0.2319167093888561,0.0,1.2238122574735355
sub-M87100481,88,sub-M87100481_win_88,0.6403141069551035,0.16454940048320665,0.0,1.2375718622376493
sub-M87100481,89,sub-M87100481_win_89,0.4386601387706621,0.36613012972913683,0.0,1.0125549997452596
sub-M87100481,90,sub-M87100481_win_90,0.2833273746871088,0.4452036853590364,0.0,1.1826964350288813
sub-M87100481,91,sub-M87100481_win_91,0.4635175787216337,0.45491796954416763,0.0,1.1705017715367614
sub-M87100481,92,sub-M87100481_win_92,0.5006533099956183,0.20774768788954567,0.0,1.1959861694186094
sub-M87100481,93,sub-M87100481_win_93,0.31950400092871245,0.16310886440235173,0.0,1.1903899788655172
sub-M87100481,94,sub-M87100481_win_94,0.28552100957171334,0.2788086201354112,0.0,1.091604615238091
sub-M87100481,95,sub-M87100481_win_95,0.6004819532577939,0.2578518768897782,0.0,1.0493980859360645
sub-M87100481,96,sub-M87100481_win_96,0.5436831584259005,0.11041380980130011,0.0,1.280485699163112
sub-M87100481,97,sub-M87100481_win_97,0.8733100710583992,0.3617771281086206,0.0,0.6633482556525268
sub-M87100481,98,sub-M87100481_win_98,0.5423259615664628,0.10685284367257264,0.0,1.191967802285105
sub-M87100481,99,sub-M87100481_win_99,0.36000399433291186,0.0,0.12958073480446686,1.374418548747367
sub-M87100481,100,sub-M87100481_win_100,0.3552309021209954,0.10654663650511953,0.0,1.1240311323897032
sub-M87100481,101,sub-M87100481_win_101,0.272860664693515,0.0,0.21614384954242993,1.18077409437723
sub-M87102708,0,sub-M87102708_win_0,0.33774005477506197,0.24141251474936087,0.0,1.0407403640868615
sub-M87102708,1,sub-M87102708_win_1,0.34234612608015524,0.16865503150433803,0.0,1.101853477286995
sub-M87102708,2,sub-M87102708_win_2,0.39837003131994386,0.2874045060140098,0.0,1.2670691361437862
sub-M87102708,3,sub-M87102708_win_3,0.36544012202082765,0.0,0.04725876757091818,1.3303504199704133
sub-M87102708,4,sub-M87102708_win_4,0.32721300026038236,0.0,0.07433658026445666,1.4162555744973115
sub-M87102708,5,sub-M87102708_win_5,0.3590847357331812,0.0,0.039919778502764736,1.3389237273300978
sub-M87102708,6,sub-M87102708_win_6,0.32935496620774973,0.1435695031950246,0.0,1.218316745485545
sub-M87102708,7,sub-M87102708_win_7,0.4901926712029452,0.09829812981550656,0.0,0.9844688482491346
sub-M87102708,8,sub-M87102708_win_8,0.37224589941144615,0.39343464743695034,0.0,1.1987729627970998
